# Production's tract delimitations for src/ng/alignment/delimit_parity.rs, frozen at promotion plan
# step C10. Each row is what production's ssr::pileup::alignment::delimit_read, with HmmModel::new(),
# returned at commit d9e7b076 for one case the tests build: the 3,000 generated cases of each of four
# seeds (those with a non-empty read) and the six named ones.
#
# Columns, tab-separated: an FNV-1a digest of the case (left flank, tract, right flank, motif, read,
# quality, each length-prefixed), then `R <start> <end>` for a measured region of the read, or `O`
# for a read production rejected as running off an end.
0007d5b783894f9d	R	7	9
0008208da653b21a	O
00161495cf9a9eb1	R	0	0
0017bc2d7df49650	R	4	14
001f785719871696	R	1	5
001f9d8ac9d3d24c	O
0024b5f3d6824474	R	7	19
0027d6376621a634	R	2	44
0034ada5bc583428	O
003cf5718364e8f6	R	6	10
0049ddb95ee3adaf	R	4	16
004b7ede63f14a4d	R	10	60
004bfbd401bce04c	R	2	14
004e9cec567caf80	R	0	12
0051ecafdfe0e205	O
00520b8822458652	O
005c8be663229bad	O
005f83cd05bac405	R	2	29
00636811cda62ad7	R	5	12
006975c327c879d5	O
007859c6fb1b5937	R	3	4
007fe552571aeaf3	R	11	15
0085d3ef5430a516	R	5	19
0085e6afa1636d93	R	1	4
008b9aca29c17086	R	5	17
008ed7660cfd5914	R	8	18
0090388c01d933e9	R	0	14
0097163064174e5e	R	5	17
0097edd1fca898c3	R	3	11
0098ceb3452d6f20	R	8	20
00a60bb1d8ff0858	R	8	9
00ae5cc8799fb1ab	R	9	21
00b631aa5008a731	O
00baa39f6240721b	O
00c0b357ab6712ae	O
00c3b737a00a0769	O
00c574f4c971e5be	R	8	35
00c7bbf2d691bfe2	R	5	68
00c8d7f759bdcf01	R	0	36
00ca1adafca753ca	O
00da507a02d35ca0	R	0	27
00e0747ed0685dda	R	1	40
00e1fbc30d8822dd	R	0	20
00e92607997047bc	R	8	8
00ea0fdf7fee4eb6	R	3	30
00eb6dd3e92afef4	R	0	5
00f59bd8e795a0f8	R	3	30
00f94e71e0490c57	R	1	24
00fb08033941c680	R	0	42
00fcf8b7b234c698	R	7	73
01025aec2295d326	R	8	69
0105615c1d0cce7e	R	4	28
010b1717a58805f1	R	0	12
010ebd56bc80ad25	R	4	11
0110127e94751b48	R	2	6
01155d3872453812	R	12	24
012868dfafcea465	O
0132c08dfe909409	R	2	11
0133660689c38deb	O
0138cc00a4b6dadc	O
0139041147ad32e8	O
01391f3fb8df73af	O
013b3bb28d35f222	O
013c21b9ead4d4c7	R	11	13
013d3b4636e7f604	R	12	24
0145012c5c1800d0	R	5	10
01451ee2dc85d97b	O
014cec48356f7814	R	4	10
014ff9a6c10e1821	O
01531118fb9b2cbb	R	10	20
0155e11da8c9ead1	O
016cf55febb167bb	R	4	46
0170378c603f30c1	R	1	2
01709cd0500b99f8	R	0	36
0172331f8b7b74df	O
01723a9b2d23450f	R	12	19
017e6fb7cf76127e	R	3	18
0184c19cf111cc08	R	3	45
0185cf26d35d66de	R	6	6
018c2aa349c319d4	O
019369db679edda1	O
019888c7c7cd3b5d	O
019961968610a383	R	6	32
019aa5bc4b55ee2b	O
01a184bb9903e53b	O
01a584ddb7d36ea9	R	11	20
01ab2804125830d8	R	5	47
01bcb68d3a781c0a	R	10	20
01c26eb2b630b56f	R	5	33
01c666b1d751d74d	R	9	13
01cd4aac746569b4	O
01d03f661d342340	R	1	25
01d6136fb1184206	R	2	12
01d74d6ce770fc52	O
01d867881ea6954f	R	0	36
